Source,Reference,Organisms,Thermoregulation,Log body mass,Dispersal type,Trophic position,Realm,Habitat type,Hemisphere,Longitude,Scale,Grain log area kmsq,Diversity type,Range,Significance,Global richness log S,Measure,N,Slope b,SE b,Intercept,rz,Var rz
"Karlsson, personal communication",Personal communication,Corals,Ecto,-3,Pelagic larvae,Suspension,Marine,Benthos coastal,S,Worldwide,Local,,Alpha,23,No,3.4,S,571,0.07,0.04,9.38,0.08,0
"Karlsson, personal communication",Personal communication,Corals,Ecto,-3,Pelagic larvae,Suspension,Marine,Benthos coastal,N,Worldwide,Regional,,Gamma,31,No,3.4,S,42,-4.66,1.99,184.59,-0.36,0.03
"Karlsson, personal communication",Personal communication,Corals,Ecto,-3,Pelagic larvae,Suspension,Marine,Benthos coastal,S,Worldwide,Regional,,Gamma,23,No,3.4,S,17,4.54,3.98,158.5,0.29,0.07
Karr and Roth 1971,Am Nat 105:423-435,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,N,New World,Local,,Alpha,31,No,3.95,S,15,-0.24,0.31,27.35,-0.21,0.08
Karr 1971,Ecol Monogr 41:207-233,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,N,New World,Local,,Alpha,20,No,3.95,S,11,-1.09,1.1,90.85,-0.32,0.13
Kaspari et al. 2000,Am Nat 155:280-293,Ants,Ecto,-2.4,Flying,Omnivores,Terrestrial,All terrestrial,N,New World,Local,0,Alpha,44,,3.78,S,16,-0.08,0.03,9.33,-0.69,0.08
Kaufman and Willig 1998,J Biogeogr 25:795-805,Bats,Homeo,1.11,Flying,Carnivores,Terrestrial,All terrestrial,N,New World,Regional,4.82,Ranges,65,Yes,2.97,S,738,-1.1,0.04,65.6,-1.12,0
Kaufman and Willig 1998,J Biogeogr 25:795-805,Bats,Homeo,1.11,Flying,Carnivores,Terrestrial,All terrestrial,N,New World,Regional,5.42,Ranges,65,Yes,2.97,S,220,-1.29,0.08,77.9,-1.17,0
Kaufman and Willig 1998,J Biogeogr 25:795-805,Bats,Homeo,1.11,Flying,Carnivores,Terrestrial,All terrestrial,S,New World,Regional,4.82,Ranges,65,Yes,2.97,S,738,-2.49,0.08,107.1,-1.42,0
Kaufman and Willig 1998,J Biogeogr 25:795-805,Bats,Homeo,1.11,Flying,Carnivores,Terrestrial,All terrestrial,S,New World,Regional,5.42,Ranges,65,Yes,2.97,S,220,-2.58,0.17,116.5,-1.34,0
Kaufman and Willig 1998,J Biogeogr 25:795-805,Mammals,Homeo,2.86,Mobility,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,4.82,Ranges,65,Yes,3.68,S,738,-1,0.05,99.4,-0.9,0
Kaufman and Willig 1998,J Biogeogr 25:795-805,Mammals,Homeo,2.86,Mobility,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,5.42,Ranges,65,Yes,3.68,S,220,-1.27,0.11,120.2,-0.88,0
Kaufman and Willig 1998,J Biogeogr 25:795-805,Mammals,Homeo,2.86,Mobility,Omnivores,Terrestrial,All terrestrial,S,New World,Regional,4.82,Ranges,65,Yes,3.68,S,738,-1.31,0.09,103.8,-0.8,0
Kaufman and Willig 1998,J Biogeogr 25:795-805,Mammals,Homeo,2.86,Mobility,Omnivores,Terrestrial,All terrestrial,S,New World,Regional,5.42,Ranges,65,Yes,3.68,S,220,-1.57,0.25,126.5,-0.68,0
Kaufman 1995,J Mammal 76:322-334,Bats,Homeo,1.11,Flying,Carnivores,Terrestrial,All terrestrial,N,New World,Regional,6.12,Ranges,53,Yes,2.97,S,13,-2.4,0.3,144.7,-1.57,0.1
Kaufman 1995,J Mammal 76:322-334,Bats,Homeo,1.11,Flying,Carnivores,Terrestrial,All terrestrial,S,New World,Regional,6.12,Ranges,50,Yes,2.97,S,13,-3.7,0.2,175.3,-2.29,0.1
Kaufman 1995,J Mammal 76:322-334,Mammals,Homeo,2.86,Mobility,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,6.12,Ranges,53,Yes,3.68,S,13,-3,0.4,267.5,-1.44,0.1
Kaufman 1995,J Mammal 76:322-334,Mammals,Homeo,2.86,Mobility,Omnivores,Terrestrial,All terrestrial,S,New World,Regional,6.12,Ranges,50,Yes,3.68,S,13,-5.5,0.7,427.1,-1.57,0.1
Kerr and Packer 1999,Biodivers Conserv 8:617-628,Genus Epicauta,Ecto,-0.35,Flying,Herbivores,Terrestrial,All terrestrial,N,New World,Regional,4.82,Alpha,35,Yes,2.4,S,336,,,,-1.33,0
Kerr et al. 1998,Ecoscience 5:448-453,Papilionidae,Ecto,-0.15,Flying,Herbivores,Terrestrial,All terrestrial,N,New World,Regional,4.82,Alpha,35,Yes,2.78,S,336,,,,-1.07,0
Kerr et al. 1998,Ecoscience 5:448-453,Moths,Ecto,-1.15,Flying,Herbivores,Terrestrial,All terrestrial,N,New World,Regional,4.82,Alpha,35,Yes,5.3,S,336,,,,-0.95,0
Kiester 1971,Syst Zool 20:127-137,Amphibians,Ecto,1.06,Mobility,Omnivores,Terrestrial,Nonforest,N,New World,Regional,4,Ranges,20,Yes,3.68,S,388,-0.97,0.09,53.25,-0.5,0
Kiester 1971,Syst Zool 20:127-137,Reptils,Ecto,2.81,Mobility,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,4,Ranges,20,Yes,3.85,S,414,-3.23,0.07,155.77,-1.57,0
Knight et al. 1982,J S Afr Bot 48:455-480,Trees,Ecto,4.64,Seeds,Autotrophs,Terrestrial,Forest,S,Eurafrica,Regional,4,Ranges,16,No,4.85,S,8,-1.52,4.74,167.98,-0.13,0.2
Kocher and Williams 2000,J Biogeogr 27:785-794,Lepidoptera,Ecto,-0.15,Flying,Herbivores,Terrestrial,All terrestrial,N,New World,Local,,Alpha,44,Yes,4.2,Sst,511,-0.39,,42,-0.23,0
Koleff and Gaston 2001,Ecography 24:341-351,Parrots,Homeo,2.1,Flying,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,6.1,Ranges,60,Yes,2.55,S,13,-1.26,0.14,66.25,-1.74,0.1
Koleff and Gaston 2001,Ecography 24:341-351,Woodpecker,Homeo,2.1,Flying,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,6.1,Ranges,55,Yes,2.61,S,12,-0.91,0.07,48.71,-2.13,0.11
Koleff and Gaston 2001,Ecography 24:341-351,Parrots,Homeo,2.1,Flying,Omnivores,Terrestrial,All terrestrial,S,New World,Regional,5.4,Ranges,25,Yes,2.55,S,6,-1.93,0.22,57.24,-2.16,0.33
Koleff and Gaston 2001,Ecography 24:341-351,Woodpecker,Homeo,2.1,Flying,Omnivores,Terrestrial,All terrestrial,S,New World,Regional,5.4,Ranges,65,Yes,2.61,S,14,-0.54,0.05,37.66,-1.91,0.09
Kouki et al. 1994,Ann Zool Fenn 31:83-88,Sawflies,Ecto,-2.3,Flying,Herbivores,Terrestrial,All terrestrial,N,Eurafrica,Regional,5.4,Gamma,65,Yes,3.78,S,8,2.59,0.58,-18.96,1.36,0.2
Kouki et al. 1994,Ann Zool Fenn 31:83-88,Plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,N,Eurafrica,Regional,5.4,Gamma,57,Yes,5.37,S,8,-335.6,77.16,19472,-1.34,0.2
Kusnezov 1957,Evolution 11:298-299,Ants,Ecto,-2.4,Flying,Omnivores,Terrestrial,All terrestrial,N,Eurafrica,Regional,5,Gamma,36,Yes,3.78,S,4,-3.1,0.3,226.7,-2.7,1
Kusnezov 1957,Evolution 11:298-299,Ants,Ecto,-2.4,Flying,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,5,Gamma,60,Yes,3.78,S,6,-2.35,0.21,157.61,-2.44,0.33
Kusnezov 1957,Evolution 11:298-299,Ants,Ecto,-2.4,Flying,Omnivores,Terrestrial,All terrestrial,S,New World,Regional,5,Gamma,35,Yes,3.78,S,7,-6.81,0.85,356.98,-2,0.25
Lahti and Kurtto 1987,Memo Soc Fauna Flora Fenn 63:7-9,Carex,Ecto,0.7,Seeds,Autotrophs,Terrestrial,Nonforest,N,Eurafrica,Regional,4,,10,Yes,3.04,S,20,-0.91,0.41,104.54,-0.5,0.06
Lambshead et al. 2000,Mar Ecol Prog Ser 194:159-167,Nematodes,Ecto,-5.85,Passive,Microbivores,Marine,Deep sea,N,Atlantic,Local,-6.9,Alpha,54,No,4.1,Sst,17,0.05,,26.1,0.08,0.07
Lambshead et al. 2002,Mar Ecol Prog Ser 236:129-135,Nematodes,Ecto,-5.85,Passive,Microbivores,Marine,Deep sea,N,Pacific,Local,-8,Alpha,23,Yes,4.1,Sst,20,-0.38,0.13,51.1,-0.72,0.06
Latham and Ricklefs 1993,Oikos 67:325-333,Trees,Ecto,4.64,Seeds,Autotrophs,Terrestrial,Forest,N,Worldwide,Local,2.61,Alpha,37.5,Yes,4.85,S,27,-10.01,1.86,479.71,-0.94,0.04
Lawes and Eeley 2000,J Biogeogr 27:1421-1435,Primates,Homeo,3.64,Mobility,Omnivores,Terrestrial,All terrestrial,Both,New World,Local,2,Alpha,14,Yes,2.37,Mean S,10,-0.23,0.08,7.46,-0.89,0.14
Lawes and Eeley 2000,J Biogeogr 27:1421-1435,Primates,Homeo,3.64,Mobility,Omnivores,Terrestrial,All terrestrial,N,Australasia,Local,2,Alpha,17.35,No,2.37,Mean S,20,-0.07,0.04,4.55,-0.35,0.06
Lawes and Eeley 2000,J Biogeogr 27:1421-1435,Primates,Homeo,3.64,Mobility,Omnivores,Terrestrial,All terrestrial,Both,New World,Regional,7,Gamma,14,Yes,2.37,S,10,-0.48,0.14,16.81,-1,0.14
Lawes and Eeley 2000,J Biogeogr 27:1421-1435,Primates,Homeo,3.64,Mobility,Omnivores,Terrestrial,All terrestrial,N,Australasia,Regional,6,Gamma,17.35,No,2.37,S,20,-0.07,0.09,7.18,-0.18,0.06
Leveque 2001,"Levin, 2001, vol. 3, pp. 633-644",Fish,Ecto,2.43,Mobility,Omnivores,Freshwater,Lake,Both,Worldwide,Local,3.67,Alpha,61,No,4.36,Sst,18,-0.01,0,0.23,-0.48,0.07
Leveque 2001,"Levin, 2001, vol. 3, pp. 633-644",Fish,Ecto,2.43,Mobility,Omnivores,Freshwater,Lake,Both,Worldwide,Local,3.95,Alpha,47,No,4.36,Sst,7,-0.01,0.01,0.29,-0.46,0.25
Linder 2001,J Biogeogr 28:169-182,Vascular plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,S,Eurafrica,Regional,4.9,Ranges,32.5,Yes,5.37,S,14,-2.7,0.35,123.92,-1.53,0.09
Lodsâ€êCrozet et al. 2001,Freshwater Biol 46:1791-1809,Chironomids,Ecto,-3,Flying,Omnivores,Freshwater,Stream,N,Eurafrica,Local,1.3,Alpha,35.7,Yes,3.7,S,6,-0.72,0.2,65.35,-1.34,0.33
Lyons and Willig 2002,Ecology 83:47-58,Bats,Homeo,1.11,Flying,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,3,Ranges,63,Yes,2.97,Sst,25,-0.07,0.01,4.74,-1.69,0.05
Lyons and Willig 2002,Ecology 83:47-58,Bats,Homeo,1.11,Flying,Omnivores,Terrestrial,All terrestrial,S,New World,Regional,3,Ranges,45,Yes,2.97,Sst,21,-0.09,0.01,4.87,-1.8,0.06
Lyons and Willig 2002,Ecology 83:47-58,Marsupials,Homeo,2.78,Mobility,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,3,Ranges,49,Yes,2.44,Sst,20,-0.04,0.01,1.8,-0.88,0.06
Lyons and Willig 2002,Ecology 83:47-58,Marsupials,Homeo,2.78,Mobility,Omnivores,Terrestrial,All terrestrial,S,New World,Regional,3,Ranges,40,Yes,2.44,Sst,20,-0.09,0.01,3.41,-1.35,0.06
MacArthur 1969,Biol J Linn Soc 1:19-30,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,5.31,Gamma,62,Yes,3.95,S,91,-4.94,0.44,348.43,-1.01,0.01
MacDonald 1969,Ecol Monogr 39:33-60,Molluscs,Ecto,-0.78,Pelagic larvae,Omnivores,Marine,Benthos coastal,N,Pacific,Local,1.14,Alpha,29,No,5.11,S,11,-0.14,0.12,11.22,-0.38,0.13
Macpherson and Duarte 1994,Ecography 17:242-248,Fish,Ecto,2.43,Mobility,Omnivores,Marine,Coastal pelagic,N,Atlantic,Regional,6.2,Ranges,70,Yes,4.4,S,15,-12.68,1.58,1228.6,-1.54,0.08
Macpherson and Duarte 1994,Ecography 17:242-248,Fish,Ecto,2.43,Mobility,Omnivores,Marine,Coastal pelagic,S,Atlantic,Regional,6.2,Ranges,30,Yes,4.4,S,7,-15.44,0.92,1033.9,-2.7,0.25
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Stomatopods,Ecto,-1.3,Pelagic larvae,Carnivores,Marine,Benthos coastal,N,Atlantic,Regional,3.3,Ranges,75,Yes,2.62,S,16,-0.37,0.08,35.96,-1.07,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Stomatopods,Ecto,-1.3,Pelagic larvae,Carnivores,Marine,Benthos coastal,N,Atlantic,Regional,3.3,Ranges,75,Yes,2.62,S,16,-0.44,0.05,32.27,-1.63,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Stomatopods,Ecto,-1.3,Pelagic larvae,Carnivores,Marine,Benthos coastal,S,Atlantic,Regional,3.3,Ranges,33,Yes,2.62,S,8,-0.15,0.05,24.77,-1.07,0.2
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Stomatopods,Ecto,-1.3,Pelagic larvae,Carnivores,Marine,Benthos coastal,S,Atlantic,Regional,3.3,Ranges,70,Yes,2.62,S,14,-0.24,0.02,23.96,-1.93,0.09
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Decapods,Ecto,-0.65,Pelagic larvae,Omnivores,Marine,Benthos coastal,N,Atlantic,Regional,3.3,Ranges,75,Yes,3.92,S,16,-1.27,0.2,120.6,-1.3,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Decapods,Ecto,-0.65,Pelagic larvae,Omnivores,Marine,Benthos coastal,N,Atlantic,Regional,3.3,Ranges,75,Yes,3.92,S,16,-3.35,0.42,268.26,-1.5,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Decapods,Ecto,-0.65,Pelagic larvae,Omnivores,Marine,Benthos coastal,N,Atlantic,Regional,3.3,Ranges,75,Yes,3.92,S,16,-3.52,0.65,251.41,-1.16,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Decapods,Ecto,-0.65,Pelagic larvae,Omnivores,Marine,Benthos coastal,N,Atlantic,Regional,3.3,Ranges,75,Yes,3.92,S,16,-7.96,1.22,506.43,-1.32,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Decapods,Ecto,-0.65,Pelagic larvae,Omnivores,Marine,Deep sea,N,Atlantic,Regional,3.3,Ranges,75,Yes,3.92,S,16,-0.46,0.15,42.84,-0.74,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Decapods,Ecto,-0.65,Pelagic larvae,Omnivores,Marine,Deep sea,N,Atlantic,Regional,3.3,Ranges,75,Yes,3.92,S,16,-0.44,0.07,32.96,-1.23,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Decapods,Ecto,-0.65,Pelagic larvae,Omnivores,Marine,Benthos coastal,S,Atlantic,Regional,3.3,Ranges,33,Yes,3.92,S,8,-1.79,0.17,90.19,-2.16,0.2
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Decapods,Ecto,-0.65,Pelagic larvae,Omnivores,Marine,Benthos coastal,S,Atlantic,Regional,3.3,Ranges,33,Yes,3.92,S,8,-5.79,1.37,197.82,-1.31,0.2
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Decapods,Ecto,-0.65,Pelagic larvae,Omnivores,Marine,Benthos coastal,S,Atlantic,Regional,3.3,Ranges,70,Yes,3.92,S,15,-1.16,0.15,82.22,-1.47,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Decapods,Ecto,-0.65,Pelagic larvae,Omnivores,Marine,Benthos coastal,S,Atlantic,Regional,3.3,Ranges,70,Yes,3.92,S,15,-5.34,0.53,351.43,-1.76,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Decapods,Ecto,-0.65,Pelagic larvae,Omnivores,Marine,Deep sea,S,Atlantic,Regional,3.3,Ranges,33,Yes,3.92,S,8,-0.33,0.06,22.4,-1.51,0.2
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Decapods,Ecto,-0.65,Pelagic larvae,Omnivores,Marine,Deep sea,S,Atlantic,Regional,3.3,Ranges,70,Yes,3.92,S,15,-0.21,0.03,15.61,-1.34,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Cephalopods,Ecto,2.18,Mobility,Carnivores,Marine,Coastal pelagic,N,Atlantic,Regional,3.3,Ranges,75,Yes,2.85,S,16,-0.34,0.04,22.05,-1.65,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Cephalopods,Ecto,2.18,Mobility,Carnivores,Marine,Coastal pelagic,N,Atlantic,Regional,3.3,Ranges,75,Yes,2.85,S,16,-0.65,0.12,42.17,-1.42,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Cephalopods,Ecto,2.18,Mobility,Carnivores,Marine,Pelagic ocean,N,Atlantic,Regional,6,Ranges,80,Yes,2.85,S,17,-1.42,0.14,112.31,-1.67,0.07
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Cephalopods,Ecto,2.18,Mobility,Carnivores,Marine,Coastal pelagic,S,Atlantic,Regional,3.3,Ranges,33,Yes,2.85,S,8,-0.6,0.11,19.74,-1.55,0.2
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Cephalopods,Ecto,2.18,Mobility,Carnivores,Marine,Coastal pelagic,S,Atlantic,Regional,3.3,Ranges,70,Yes,2.85,S,13,-0.4,0.05,23.14,-1.6,0.1
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Cephalopods,Ecto,2.18,Mobility,Carnivores,Marine,Pelagic ocean,S,Atlantic,Regional,6,Ranges,75,Yes,2.85,S,15,-1.44,0.15,106.57,-1.72,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Fish,Ecto,2.43,Mobility,Omnivores,Marine,Coastal pelagic,N,Atlantic,Regional,3.3,Ranges,75,Yes,4.4,S,16,-1.37,0.35,207.09,-0.99,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Fish,Ecto,2.43,Mobility,Omnivores,Marine,Coastal pelagic,N,Atlantic,Regional,3.3,Ranges,75,Yes,4.4,S,16,-4.95,0.56,414.57,-1.6,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Fish,Ecto,2.43,Mobility,Omnivores,Marine,Coastal pelagic,N,Atlantic,Regional,3.3,Ranges,75,Yes,4.4,S,16,-4.01,0.56,294.87,-1.4,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Fish,Ecto,2.43,Mobility,Omnivores,Marine,Coastal pelagic,N,Atlantic,Regional,3.3,Ranges,75,Yes,4.4,S,16,-17.98,2.45,1257.13,-1.43,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Fish,Ecto,2.43,Mobility,Omnivores,Marine,Pelagic ocean,N,Atlantic,Regional,6,Ranges,80,Yes,4.4,S,17,-5.99,0.53,465.72,-1.79,0.07
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Fish,Ecto,2.43,Mobility,Omnivores,Marine,Deep sea,N,Atlantic,Regional,3.3,Ranges,75,Yes,4.4,S,16,-0.38,0.05,31.31,-1.39,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Fish,Ecto,2.43,Mobility,Omnivores,Marine,Deep sea,N,Atlantic,Regional,3.3,Ranges,75,Yes,4.4,S,16,-1.57,0.19,106.37,-1.53,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Fish,Ecto,2.43,Mobility,Omnivores,Marine,Coastal pelagic,S,Atlantic,Regional,3.3,Ranges,33,Yes,4.4,S,8,-2.96,0.15,162.02,-2.83,0.2
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Fish,Ecto,2.43,Mobility,Omnivores,Marine,Coastal pelagic,S,Atlantic,Regional,3.3,Ranges,33,Yes,4.4,S,8,-9.14,0.88,364.2,-2.15,0.2
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Fish,Ecto,2.43,Mobility,Omnivores,Marine,Coastal pelagic,S,Atlantic,Regional,3.3,Ranges,70,Yes,4.4,S,15,-1.45,0.19,164.34,-1.5,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Fish,Ecto,2.43,Mobility,Omnivores,Marine,Coastal pelagic,S,Atlantic,Regional,3.3,Ranges,70,Yes,4.4,S,15,-10.78,1.02,751.24,-1.79,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Fish,Ecto,2.43,Mobility,Omnivores,Marine,Pelagic ocean,S,Atlantic,Regional,6,Ranges,75,Yes,4.4,S,15,-6.94,0.82,446.59,-2.23,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Fish,Ecto,2.43,Mobility,Omnivores,Marine,Deep sea,S,Atlantic,Regional,3.3,Ranges,33,No,4.4,S,8,-0.12,0.08,16.39,-0.59,0.2
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Fish,Ecto,2.43,Mobility,Omnivores,Marine,Deep sea,S,Atlantic,Regional,3.3,Ranges,70,Yes,4.4,S,15,-0.98,0.07,70.97,-2.11,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Chaetognatha,Ecto,-4.05,Passive,Carnivores,Marine,Pelagic ocean,N,Atlantic,Regional,6,Ranges,80,Yes,1.7,S,17,-0.41,0.03,35.67,-1.85,0.07
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Chaetognatha,Ecto,-4.05,Passive,Carnivores,Marine,Pelagic ocean,S,Atlantic,Regional,6,Ranges,75,Yes,1.7,S,16,-0.49,0.07,41.93,-1.43,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Appendicularia,Ecto,-4.3,Passive,Microbivores,Marine,Pelagic ocean,N,Atlantic,Regional,6,Ranges,80,Yes,1.6,S,17,-0.49,0.13,56.9,-0.87,0.07
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Appendicularia,Ecto,-4.3,Passive,Microbivores,Marine,Pelagic ocean,S,Atlantic,Regional,6,Ranges,75,Yes,1.6,S,16,-0.56,0.05,51.11,-1.75,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Euphausiids,Ecto,-2.55,Pelagic larvae,Omnivores,Marine,Pelagic ocean,N,Atlantic,Regional,6,Ranges,80,Yes,1.95,S,17,-0.61,0.05,48.82,-1.85,0.07
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Decapods,Ecto,-0.65,Pelagic larvae,Omnivores,Marine,Pelagic ocean,N,Atlantic,Regional,6,Ranges,80,Yes,3.92,S,17,-1.19,0.11,91.92,-1.71,0.07
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Euphausiids,Ecto,-2.55,Pelagic larvae,Omnivores,Marine,Pelagic ocean,S,Atlantic,Regional,6,Ranges,75,Yes,1.95,S,15,-0.62,0.1,46.65,-1.3,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Decapods,Ecto,-0.65,Pelagic larvae,Omnivores,Marine,Pelagic ocean,S,Atlantic,Regional,6,Ranges,75,Yes,3.92,S,15,-1.36,0.14,70.46,-1.7,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Hydromedusae,Ecto,-0.7,Pelagic larvae,Omnivores,Marine,Pelagic ocean,N,Atlantic,Regional,6,Ranges,80,Yes,3.43,S,17,-1.62,0.32,182.69,-1.08,0.07
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Siphonophora,Ecto,1,Pelagic larvae,Omnivores,Marine,Pelagic ocean,N,Atlantic,Regional,6,Ranges,80,Yes,2.18,S,17,-1.23,0.15,112.96,-1.48,0.07
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Hydromedusae,Ecto,-0.7,Pelagic larvae,Omnivores,Marine,Pelagic ocean,S,Atlantic,Regional,6,Ranges,75,Yes,3.43,S,15,-2.27,0.41,196.73,-1.22,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Siphonophora,Ecto,1,Pelagic larvae,Omnivores,Marine,Pelagic ocean,S,Atlantic,Regional,6,Ranges,75,Yes,2.18,S,15,-1.4,0.15,112.77,-1.66,0.08
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Salpida,Ecto,-4.15,Passive,Suspension,Marine,Pelagic ocean,N,Atlantic,Regional,6,Ranges,80,Yes,1.78,S,17,-0.41,0.02,29.24,-2.3,0.07
MacPherson 2002,Proc R Soc Lond B 269:1715-1720,Salpida,Ecto,-4.15,Passive,Suspension,Marine,Pelagic ocean,S,Atlantic,Regional,6,Ranges,75,Yes,1.78,S,16,-0.42,0.03,32.38,-1.9,0.08
Mann 1999,Aust J Bot 47:445-458,Charophytes,Ecto,0.67,Seeds,Autotrophs,Freshwater,Lake,N,New World,Regional,6,Gamma,46,No,2.65,S,14,0.12,0.1,7.52,0.37,0.09
Mares and Ojeda 1982,Cited in Rosenzweig 1995,Rodents,Homeo,1.69,Mobility,Omnivores,Terrestrial,All terrestrial,S,New World,Regional,5,Gamma,50,Yes,3.31,S,6,-1.01,0.35,61.09,-1.15,0.33
McCoy and Connor 1980,Evolution 34:193-203,Bats,Homeo,1.11,Flying,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,4.02,Gamma,68,Yes,2.97,S,32,-1.21,0.07,78.54,-1.8,0.03
McCoy and Connor 1980,Evolution 34:193-203,Mammals,Homeo,2.86,Mobility,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,4.02,Gamma,68,Yes,3.68,S,32,-1.62,0.28,171.83,-0.92,0.03
McGowan and Walker 1993,"Ricklefs, R. E., and D. Schluter 1993, pp. 203-214 in Species diversity in ecological communities, University of Chicago Press, Chicago",Euphausiids,Ecto,-2.55,Pelagic larvae,Herbivores,Marine,Pelagic ocean,N,Worldwide,Regional,6,Ranges,70,Yes,1.95,S,19,-0.26,0.05,25.85,-0.99,0.06
McGowan and Walker 1993,"Ricklefs, R. E., and D. Schluter 1993, pp. 203-214 in Species diversity in ecological communities, University of Chicago Press, Chicago",Euphausiids,Ecto,-2.55,Pelagic larvae,Herbivores,Marine,Pelagic ocean,S,Worldwide,Regional,6,Ranges,70,Yes,1.95,S,23,-0.32,0.04,28.18,-1.34,0.05
Meliadou and Troumbis 1997,Acta Oecol 18:393-412,Amphibians,Ecto,1.06,Mobility,Omnivores,Terrestrial,Nonforest,N,Eurafrica,Regional,4.7,Ranges,32.5,Yes,3.68,S,107,-0.32,0.05,25.61,-0.55,0.01
Meliadou and Troumbis 1997,Acta Oecol 18:393-412,Reptils,Ecto,2.81,Mobility,Carnivores,Terrestrial,All terrestrial,N,Eurafrica,Regional,4.7,Ranges,32.5,Yes,3.85,S,98,-0.87,0.04,57.02,-1.44,0.01
Michener 1979,Ann Mo Bot Gard 66:277-347,Bees,Ecto,-2.3,Flying,Herbivores,Terrestrial,All terrestrial,N,Eurafrica,Local,,Alpha,42,No,4.3,S,41,2.76,2.48,108.71,0.18,0.03
Michener 1979,Ann Mo Bot Gard 66:277-347,Bees,Ecto,-2.3,Flying,Herbivores,Terrestrial,All terrestrial,N,New World,Local,,Alpha,69,No,4.3,S,10,0.01,2.79,189.23,0,0.14
